factura_id,cliente_id,fecha_emision,fecha_vencimiento,fecha_pago,estado,monto_total,monto_pagado,saldo_pendiente,condicion_pago_dias,nombre,tipo,cuit
F-10032,1021,2025-05-14,2025-07-13,2025-06-11,Pagada,36406.18,36406.18,0.0,60,"Alvarez, Castillo and Rodriguez",Individuo,44-26560907-2
F-10044,1010,2025-06-14,2025-07-14,,Vencida,37024.27,0.0,37024.27,30,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10057,1004,2025-06-30,2025-07-15,2025-07-07,Parcialmente Pagada,146656.89,128752.73,17904.16,15,Farias Ltd,Empresa,21-74255861-7
F-10049,1013,2025-06-17,2025-07-17,,Pendiente,93023.49,0.0,93023.49,30,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10030,1025,2025-05-18,2025-07-17,2025-07-01,Pagada,89770.46,89770.46,0.0,60,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10041,1018,2025-06-18,2025-07-18,2025-06-21,Pagada,12071.45,12071.45,0.0,30,Nuñez LLC,Individuo,17-95374799-5
F-10007,1002,2025-06-23,2025-07-23,,Vencida,17021.3,0.0,17021.3,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10058,1029,2025-07-08,2025-07-23,2025-07-08,Pagada,139435.03,139435.03,0.0,15,Fernandez-Guzman,Individuo,21-50123763-6
F-10020,1004,2025-07-03,2025-08-02,,Pendiente,84091.37,0.0,84091.37,30,Farias Ltd,Empresa,21-74255861-7
F-10006,1021,2025-07-06,2025-08-05,2025-07-25,Parcialmente Pagada,96968.92,9724.46,87244.46,30,"Alvarez, Castillo and Rodriguez",Individuo,44-26560907-2
F-10031,1001,2025-07-08,2025-08-07,,Vencida,57466.96,0.0,57466.96,30,Quiroga-Lopez,Individuo,61-96105710-1
F-10042,1000,2025-06-08,2025-08-07,,Pendiente,111395.57,0.0,111395.57,60,Thiago Benjamin Vazquez Perez,Empresa,06-88550225-8
F-10004,1004,2025-06-10,2025-08-09,2025-06-10,Pagada,71887.93,71887.93,0.0,60,Farias Ltd,Empresa,21-74255861-7
F-10055,1025,2025-06-20,2025-08-19,2025-08-07,Pagada,87651.11,87651.11,0.0,60,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10028,1026,2025-06-26,2025-08-25,2025-08-18,Pagada,137602.25,137602.25,0.0,60,Medina Group,Individuo,38-66836170-4
F-10027,1023,2025-06-27,2025-08-26,,Vencida,42243.5,0.0,42243.5,60,Cabrera-Castro,Empresa,38-16671096-6
