factura_id,cliente_id,fecha_emision,fecha_vencimiento,fecha_pago,estado,monto_total,monto_pagado,saldo_pendiente,condicion_pago_dias,nombre,tipo,cuit
F-10050,1015,2025-04-26,2025-05-11,2025-05-01,Pagada,44070.22,44070.22,0.0,15,Mansilla and Sons,Individuo,90-99759105-7
F-10066,1015,2025-05-11,2025-05-11,2025-05-11,Pagada,71715.14,71715.14,0.0,0,Mansilla and Sons,Individuo,90-99759105-7
F-10097,1002,2025-05-11,2025-05-11,,Pendiente,140182.79,0.0,140182.79,0,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10019,1005,2025-04-14,2025-05-14,,Vencida,79634.28,0.0,79634.28,30,Franco Romero,Individuo,39-15053688-0
F-10000,1018,2025-04-14,2025-05-14,2025-05-10,Pagada,89999.25,89999.25,0.0,30,Nuñez LLC,Individuo,17-95374799-5
F-10076,1021,2025-05-15,2025-05-15,2025-05-15,Pagada,143631.15,143631.15,0.0,0,"Alvarez, Castillo and Rodriguez",Individuo,44-26560907-2
F-10052,1007,2025-04-15,2025-05-15,,Pendiente,19968.06,0.0,19968.06,30,Facundo Benjamin Figueroa,Individuo,46-60191851-1
F-10074,1013,2025-05-01,2025-05-16,,Pendiente,13645.69,0.0,13645.69,15,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10029,1016,2025-05-02,2025-05-17,,Pendiente,5864.29,0.0,5864.29,15,Campos-Mendez,Empresa,55-37532606-6
F-10047,1000,2025-04-18,2025-05-18,,Vencida,37998.68,0.0,37998.68,30,Thiago Benjamin Vazquez Perez,Empresa,06-88550225-8
F-10067,1027,2025-04-18,2025-05-18,,Pendiente,7526.27,0.0,7526.27,30,Agustin Joaquín Gomez,Individuo,17-58907854-5
F-10021,1011,2025-05-04,2025-05-19,,Vencida,54311.72,0.0,54311.72,15,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10002,1012,2025-05-20,2025-05-20,,Pendiente,148810.0,0.0,148810.0,0,"Castro, Romero and Gomez",Empresa,53-95148335-4
F-10001,1020,2025-04-22,2025-05-22,2025-04-29,Pagada,56027.48,56027.48,0.0,30,Valentin Rojas Romero,Individuo,53-90789490-5
F-10083,1020,2025-05-08,2025-05-23,,Vencida,132137.55,0.0,132137.55,15,Valentin Rojas Romero,Individuo,53-90789490-5
F-10014,1009,2025-05-08,2025-05-23,2025-05-20,Parcialmente Pagada,117005.46,38957.66,78047.8,15,Lautaro Godoy,Individuo,26-12531086-8
F-10059,1013,2025-04-23,2025-05-23,,Pendiente,11067.05,0.0,11067.05,30,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10053,1019,2025-04-27,2025-05-27,,Vencida,80502.45,0.0,80502.45,30,Santino Agustin Facundo Silva,Individuo,45-02106727-8
F-10089,1006,2025-04-30,2025-05-30,,Pendiente,74725.56,0.0,74725.56,30,"Garcia, Aguirre and Coronel",Empresa,38-72287670-0
F-10015,1011,2025-05-15,2025-05-30,,Pendiente,53970.03,0.0,53970.03,15,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10048,1028,2025-06-01,2025-06-01,,Vencida,46338.4,0.0,46338.4,0,Alvarez Inc,Empresa,18-19513626-2
F-10045,1027,2025-06-02,2025-06-02,,Pendiente,135439.47,0.0,135439.47,0,Agustin Joaquín Gomez,Individuo,17-58907854-5
F-10069,1001,2025-06-02,2025-06-02,,Pendiente,133352.53,0.0,133352.53,0,Quiroga-Lopez,Individuo,61-96105710-1
F-10088,1023,2025-05-18,2025-06-02,2025-05-24,Pagada,103364.99,103364.99,0.0,15,Cabrera-Castro,Empresa,38-16671096-6
F-10070,1003,2025-05-03,2025-06-02,,Vencida,118174.0,0.0,118174.0,30,"Godoy, Ortiz and Campos",Individuo,06-86897865-8
F-10040,1014,2025-05-10,2025-06-09,2025-05-26,Pagada,105117.9,105117.9,0.0,30,Alma Rojas Soria,Individuo,82-77604975-6
F-10037,1019,2025-05-10,2025-06-09,2025-05-28,Pagada,60184.84,60184.84,0.0,30,Santino Agustin Facundo Silva,Individuo,45-02106727-8
F-10060,1007,2025-04-11,2025-06-10,,Pendiente,139439.36,0.0,139439.36,60,Facundo Benjamin Figueroa,Individuo,46-60191851-1
F-10081,1029,2025-05-27,2025-06-11,2025-05-27,Pagada,23141.59,23141.59,0.0,15,Fernandez-Guzman,Individuo,21-50123763-6
F-10018,1014,2025-04-14,2025-06-13,2025-04-15,Pagada,119710.83,119710.83,0.0,60,Alma Rojas Soria,Individuo,82-77604975-6
F-10061,1009,2025-06-13,2025-06-13,2025-06-13,Pagada,98239.29,98239.29,0.0,0,Lautaro Godoy,Individuo,26-12531086-8
F-10010,1001,2025-05-17,2025-06-16,,Pendiente,8449.88,0.0,8449.88,30,Quiroga-Lopez,Individuo,61-96105710-1
F-10086,1009,2025-06-16,2025-06-16,2025-06-16,Pagada,31631.16,31631.16,0.0,0,Lautaro Godoy,Individuo,26-12531086-8
F-10093,1011,2025-06-17,2025-06-17,2025-06-17,Parcialmente Pagada,57367.0,17305.18,40061.82,0,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10024,1028,2025-06-18,2025-06-18,2025-06-18,Pagada,86870.55,86870.55,0.0,0,Alvarez Inc,Empresa,18-19513626-2
F-10077,1026,2025-06-03,2025-06-18,,Vencida,39094.29,0.0,39094.29,15,Medina Group,Individuo,38-66836170-4
F-10046,1028,2025-05-19,2025-06-18,,Vencida,135632.71,0.0,135632.71,30,Alvarez Inc,Empresa,18-19513626-2
F-10033,1010,2025-06-04,2025-06-19,,Vencida,31198.03,0.0,31198.03,15,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10023,1001,2025-06-19,2025-06-19,2025-06-19,Parcialmente Pagada,78244.0,55278.77,22965.23,0,Quiroga-Lopez,Individuo,61-96105710-1
F-10051,1024,2025-06-05,2025-06-20,2025-06-19,Pagada,130522.62,130522.62,0.0,15,"Sosa, Aguirre and Diaz",Empresa,33-03316006-5
F-10008,1028,2025-06-21,2025-06-21,,Vencida,59731.53,0.0,59731.53,0,Alvarez Inc,Empresa,18-19513626-2
F-10095,1003,2025-06-21,2025-06-21,2025-06-21,Parcialmente Pagada,52819.45,39054.59,13764.86,0,"Godoy, Ortiz and Campos",Individuo,06-86897865-8
F-10011,1020,2025-06-08,2025-06-23,,Vencida,65760.48,0.0,65760.48,15,Valentin Rojas Romero,Individuo,53-90789490-5
F-10078,1013,2025-05-25,2025-06-24,,Pendiente,17963.44,0.0,17963.44,30,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10034,1025,2025-06-24,2025-06-24,,Vencida,59423.59,0.0,59423.59,0,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10079,1000,2025-05-28,2025-06-27,2025-06-22,Pagada,63103.18,63103.18,0.0,30,Thiago Benjamin Vazquez Perez,Empresa,06-88550225-8
F-10009,1017,2025-04-30,2025-06-29,2025-05-30,Pagada,51756.4,51756.4,0.0,60,"Perez, Blanco and Mendez",Individuo,65-14148950-6
F-10062,1010,2025-06-16,2025-07-01,,Pendiente,113556.21,0.0,113556.21,15,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10036,1002,2025-06-02,2025-07-02,2025-06-28,Pagada,43485.33,43485.33,0.0,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10026,1029,2025-06-17,2025-07-02,,Vencida,75174.06,0.0,75174.06,15,Fernandez-Guzman,Individuo,21-50123763-6
F-10025,1002,2025-06-02,2025-07-02,2025-06-06,Pagada,85407.53,85407.53,0.0,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10056,1020,2025-05-04,2025-07-03,,Pendiente,27307.92,0.0,27307.92,60,Valentin Rojas Romero,Individuo,53-90789490-5
F-10016,1003,2025-06-18,2025-07-03,,Vencida,61005.69,0.0,61005.69,15,"Godoy, Ortiz and Campos",Individuo,06-86897865-8
F-10085,1025,2025-06-05,2025-07-05,,Pendiente,5420.34,0.0,5420.34,30,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10099,1011,2025-06-21,2025-07-06,,Vencida,24184.11,0.0,24184.11,15,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10017,1001,2025-06-21,2025-07-06,,Pendiente,7988.79,0.0,7988.79,15,Quiroga-Lopez,Individuo,61-96105710-1
F-10005,1004,2025-05-11,2025-07-10,2025-06-02,Pagada,42172.54,42172.54,0.0,60,Farias Ltd,Empresa,21-74255861-7
F-10038,1012,2025-06-10,2025-07-10,2025-07-10,Pagada,88161.9,88161.9,0.0,30,"Castro, Romero and Gomez",Empresa,53-95148335-4
F-10032,1021,2025-05-12,2025-07-11,2025-06-09,Pagada,36406.18,36406.18,0.0,60,"Alvarez, Castillo and Rodriguez",Individuo,44-26560907-2
F-10035,1008,2025-06-26,2025-07-11,,Vencida,59578.63,0.0,59578.63,15,Mendoza-Arias,Individuo,61-86054708-5
F-10044,1010,2025-06-12,2025-07-12,,Vencida,37024.27,0.0,37024.27,30,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10057,1004,2025-06-28,2025-07-13,2025-07-05,Parcialmente Pagada,146656.89,128752.73,17904.16,15,Farias Ltd,Empresa,21-74255861-7
F-10063,1025,2025-06-29,2025-07-14,,Pendiente,65071.81,0.0,65071.81,15,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10049,1013,2025-06-15,2025-07-15,,Pendiente,93023.49,0.0,93023.49,30,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10030,1025,2025-05-16,2025-07-15,2025-06-29,Pagada,89770.46,89770.46,0.0,60,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10041,1018,2025-06-16,2025-07-16,2025-06-19,Pagada,12071.45,12071.45,0.0,30,Nuñez LLC,Individuo,17-95374799-5
F-10084,1019,2025-06-19,2025-07-19,2025-06-19,Pagada,105083.63,105083.63,0.0,30,Santino Agustin Facundo Silva,Individuo,45-02106727-8
F-10058,1029,2025-07-06,2025-07-21,2025-07-06,Pagada,139435.03,139435.03,0.0,15,Fernandez-Guzman,Individuo,21-50123763-6
F-10007,1002,2025-06-21,2025-07-21,,Vencida,17021.3,0.0,17021.3,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10094,1002,2025-06-23,2025-07-23,,Pendiente,85288.91,0.0,85288.91,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10096,1020,2025-06-27,2025-07-27,,Pendiente,39071.67,0.0,39071.67,30,Valentin Rojas Romero,Individuo,53-90789490-5
F-10020,1004,2025-07-01,2025-07-31,,Pendiente,84091.37,0.0,84091.37,30,Farias Ltd,Empresa,21-74255861-7
F-10006,1021,2025-07-04,2025-08-03,2025-07-23,Parcialmente Pagada,96968.92,9724.46,87244.46,30,"Alvarez, Castillo and Rodriguez",Individuo,44-26560907-2
F-10082,1025,2025-07-05,2025-08-04,2025-07-16,Parcialmente Pagada,146593.86,79768.25,66825.61,30,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10031,1001,2025-07-06,2025-08-05,,Vencida,57466.96,0.0,57466.96,30,Quiroga-Lopez,Individuo,61-96105710-1
F-10042,1000,2025-06-06,2025-08-05,,Pendiente,111395.57,0.0,111395.57,60,Thiago Benjamin Vazquez Perez,Empresa,06-88550225-8
F-10068,1016,2025-07-07,2025-08-06,2025-08-05,Pagada,35939.15,35939.15,0.0,30,Campos-Mendez,Empresa,55-37532606-6
F-10087,1010,2025-06-07,2025-08-06,,Vencida,111347.65,0.0,111347.65,60,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10004,1004,2025-06-08,2025-08-07,2025-06-08,Pagada,71887.93,71887.93,0.0,60,Farias Ltd,Empresa,21-74255861-7
F-10064,1016,2025-06-08,2025-08-07,2025-06-12,Pagada,32398.93,32398.93,0.0,60,Campos-Mendez,Empresa,55-37532606-6
F-10098,1014,2025-06-08,2025-08-07,,Vencida,133295.59,0.0,133295.59,60,Alma Rojas Soria,Individuo,82-77604975-6
F-10055,1025,2025-06-18,2025-08-17,2025-08-05,Pagada,87651.11,87651.11,0.0,60,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10065,1028,2025-06-18,2025-08-17,,Vencida,46583.94,0.0,46583.94,60,Alvarez Inc,Empresa,18-19513626-2
F-10028,1026,2025-06-24,2025-08-23,2025-08-16,Pagada,137602.25,137602.25,0.0,60,Medina Group,Individuo,38-66836170-4
F-10027,1023,2025-06-25,2025-08-24,,Vencida,42243.5,0.0,42243.5,60,Cabrera-Castro,Empresa,38-16671096-6
F-10071,1006,2025-06-28,2025-08-27,2025-07-28,Pagada,23291.31,23291.31,0.0,60,"Garcia, Aguirre and Coronel",Empresa,38-72287670-0
